isbn13,authors,original_publication_year,title,language_code,average_rating,cover_type,pages
9780345471020.0,Nancy Pickard,2010.0,The Scent of Rain and Lightning,eng,3.79,1,1036
9780062072090.0,Veronica Rossi,2014.0,Into the Still Blue (Under the Never Sky   #3),eng,4.17,0,911
9780151009980.0,Virginia Woolf   Maureen Howard,1925.0,Mrs. Dalloway,en-US,3.78,1,1017
9780747594150.0,Angie Sage,2009.0,Syren (Septimus Heap   #5),eng,4.1,0,678
9780060278250.0,Garth Nix,2003.0,Abhorsen (Abhorsen   #3),en-US,4.29,1,968
9780670021870.0,Tana French,2010.0,Faithful Place (Dublin Murder Squad   #3),eng,3.97,1,567
9780099468390.0,Ian McEwan,1978.0,The Cement Garden,eng,3.57,0,1166
9781400061270.0,Fannie Flagg,2006.0,Can't Wait to Get to Heaven,eng,3.89,1,709
9780330519470.0,Jana Oliver,2011.0,Forsaken (The Demon Trappers   #1),eng,4.0,1,568
9780385418870.0,Joseph Campbell   Bill Moyers,1988.0,The Power of Myth,en-GB,4.3,0,681
9780446577400.0,David Baldacci,2007.0,Stone Cold (Camel Club   #3),eng,4.11,0,521
9780515134480.0,Laurell K. Hamilton,1998.0,Burnt Offerings (Anita Blake   Vampire Hunter   #7),en-US,4.07,1,883
9780451474700.0,Sarah Dessen,2015.0,Saint Anything,eng,4.05,1,1316
9780061124270.0,Paulo Coelho   Margaret Jull Costa,1998.0,Veronika Decides to Die,eng,3.69,0,695
9780679723060.0,Raymond Carver,1981.0,What We Talk About When We Talk About Love,eng,4.22,0,1045
9780440993710.0,Morton Rhue   Todd Strasser,1981.0,The Wave,eng,3.54,1,1251
9780345511770.0,Bill Simmons,2009.0,The Book of Basketball: The NBA According to The Sports Guy,en-US,4.16,1,738
9780440442510.0,Esther Forbes   Lynd Ward,1943.0,Johnny Tremain,en-US,3.62,1,1263
9780356504260.0,James S.A. Corey,2016.0,Babylon's Ashes (The Expanse   #6),eng,4.18,0,1484
9780812524260.0,Orson Scott Card,1988.0,Red Prophet (Tales of Alvin Maker   #2),en-US,3.78,0,837
9780451528350.0,Mark Twain   Everett H. Emerson,1881.0,The Prince and the Pauper,eng,3.84,1,1316
9780375829700.0,Dick King-Smith   Maggie Kneen,1983.0,Babe: The Gallant Pig,eng,4.05,1,1357
9780767903870.0,Bill Bryson,2000.0,In a Sunburned Country,eng,4.05,1,743
9780990505600.0,Meredith Wild,2014.0,Hardline (Hacker   #3),eng,4.26,0,1353
9781400031530.0,Henning Mankell   Laurie Thompson,1992.0,The Dogs of Riga (Kurt Wallander   #2),eng,3.72,1,543
9780060786500.0,Barbara Kingsolver,1998.0,The Poisonwood Bible,eng,4.02,1,905
9783867197570.0,Tsugumi Ohba   Takeshi Obata   Diana Hammermeister,2009.0,Bakuman   Band 1: Traum und Realität,ger,4.18,1,701
9780552995870.0,Laura Esquivel   Thomas  Christensen   Carol Christensen,1989.0,Like Water for Chocolate,en-US,3.94,1,1239
9780553383040.0,Ursula K. Le Guin,1968.0,A Wizard of Earthsea (Earthsea Cycle   #1),en-US,3.99,1,833
9781400097040.0,Julian Barnes,2005.0,Arthur & George,eng,3.7,1,1231
9780441783590.0,Robert A. Heinlein,1959.0,Starship Troopers,en-CA,3.99,1,1233
9780385538890.0,Chris Bohjalian,2016.0,The Guest Room,eng,3.68,0,1186
9780425238810.0,Jaci Burton,2011.0,The Perfect Play (Play by Play   #1),en-US,3.93,1,534
9780679720220.0,Albert Camus   Stuart Gilbert,1947.0,The Plague,en-US,3.97,1,768
9780316018750.0,James Patterson   Michael Ledwidge,2009.0,Run for Your Life (Michael Bennett   #2),eng,4.0,0,1352
9780765350370.0,Brandon Sanderson,2005.0,Elantris (Elantris   #1),eng,4.17,0,907
9781573225520.0,Nick Hornby,1995.0,High Fidelity,eng,3.94,0,742
9780385366430.0,Kevin Hearne,2012.0,Two Ravens and One Crow (The Iron Druid Chronicles   #4.5),eng,4.2,1,804
9780316905750.0,Darren Shan,2001.0,Vampire Mountain (Cirque Du Freak   #4),eng,4.16,0,755
9780670034730.0,Daniel C. Dennett,2006.0,Breaking the Spell: Religion as a Natural Phenomenon,en-US,3.89,1,927
9784770020670.0,Tetsuko Kuroyanagi   Chihiro Iwasaki   Dorothy Britton,1981.0,Totto-chan: The Little Girl at the Window,eng,4.3,0,1142
9780763655980.0,Jon Klassen,2011.0,I Want My Hat Back,eng,4.39,0,1499
9781401204860.0,Bill Willingham   Mark Buckingham   Steve Leialoha   Tony Akins   Jimmy Palmiotti,2005.0,Fables   Vol. 5: The Mean Seasons,eng,4.19,1,1291
9780061150140.0,Jodi Picoult,1998.0,The Pact,en-US,4.0,1,844
9780743284880.0,Chuck Klosterman,2006.0,Chuck Klosterman IV: A Decade of Curious People and Dangerous Ideas,en-US,3.85,0,974
9780786837460.0,Mo Willems,2006.0,Don't Let the Pigeon Stay Up Late!,en-US,4.35,0,641
9780399169530.0,M.O. Walsh,2015.0,My Sunshine Away,eng,3.6,0,528
9780575077880.0,Joe Abercrombie,2007.0,Before They Are Hanged (The First Law #2),eng,4.27,0,1045
9781250058900.0,Brandon Stanton,2015.0,Humans of New York: Stories,eng,4.5,0,543
9780743466780.0,Sandra Brown,2005.0,Chill Factor,en-US,3.95,0,1073
9780679457310.0,Arundhati Roy,1997.0,The God of Small Things,eng,3.91,1,837
9780763631630.0,Alison Croggon,2002.0,The Naming (The Books of Pellinor   #1),en-US,4.0,1,1040
9780671741040.0,Robert McCammon,1987.0,Swan Song,eng,4.28,0,516
9780316213100.0,Holly Black,2013.0,The Coldest Girl in Coldtown,eng,3.86,0,1241
9780842329260.0,Tim LaHaye   Jerry B. Jenkins,1998.0,Soul Harvest: The World Takes Sides (Left Behind   #4),en-US,3.95,0,736
9790007672390.0,C.S. Lewis,1945.0,The Great Divorce,en-US,4.28,0,706
9781416909840.0,Andrew Clements,2007.0,No Talking,eng,3.94,1,1388
9780345484260.0,Anne McCaffrey   Teodor Panasiński,1968.0,Dragonflight (Dragonriders of Pern   #1),eng,4.1,1,1496
9780380794870.0,Pearl Cleage,1997.0,What Looks Like Crazy on an Ordinary Day (Idlewild   #1),eng,3.7,0,883
9781400064760.0,Curtis Sittenfeld,2008.0,American Wife,eng,3.72,1,643
9780553804810.0,Dean Koontz,1989.0,The Good Guy,eng,3.81,0,912
9780425226740.0,Nalini Singh,2009.0,Branded by Fire (Psy-Changeling #6),eng,4.3,0,1164
9780670022950.0,Steven Pinker,2010.0,The Better Angels of Our Nature: Why Violence Has Declined,eng,4.19,0,1135
9780752858520.0,Robert Ludlum,1984.0,The Aquitaine Progression,eng,3.9,0,1011
9780803736700.0,Sheila Turnage,2012.0,Three Times Lucky (Tupelo Landing   #1),eng,4.01,1,1038
9780385342320.0,Alan Bradley,2011.0,A Red Herring Without Mustard (Flavia de Luce   #3),eng,4.07,1,1133
9780842332360.0,Tim LaHaye   Jerry B. Jenkins,2003.0,Armageddon: The Cosmic Battle of the Ages (Left Behind   #11),en-US,4.02,0,877
9781451658020.0,Jennifer Echols,2012.0,Such a Rush,eng,3.84,1,1141
9781592858490.0,Brené Brown,2010.0,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,eng,4.17,1,909
9780446677390.0,James Patterson,1995.0,Kiss the Girls (Alex Cross   #2),eng,3.93,1,1285
9780140505400.0,Barbara Cooney,1981.0,Miss Rumphius,eng,4.45,0,683
9781423340420.0,Laurell K. Hamilton   Laural Merlington,2007.0,A Lick of Frost (Merry Gentry   #6),eng,4.12,1,1060
9780007442910.0,Veronica Roth,2012.0,Insurgent (Divergent   #2),eng,4.07,0,1116
9781847241700.0,John Ajvide Lindqvist,2004.0,Let the Right One In,eng,4.07,0,1088
9780375760400.0,Michael Pollan,2001.0,The Botany of Desire: A Plant's-Eye View of the World,en-CA,4.05,0,1167
9781451650050.0,Kresley Cole,2012.0,Shadow's Claim (Immortals After Dark   #13; The Dacians   #1),eng,4.28,0,1013
9780440487620.0,Madeleine L'Engle,1973.0,A Wind in the Door (A Wrinkle in Time Quintet   #2),eng,4.07,0,1018
9780330339190.0,Bret Easton Ellis,1994.0,The Informers,en-GB,3.39,1,1112
9780440244490.0,Lara Adrian,2008.0,Veil of Midnight (Midnight Breed   #5),eng,4.26,1,1240
9780743260050.0,Sarah Vowell,2005.0,Assassination Vacation,en-US,3.98,0,748
9780061161700.0,Terry Pratchett,2009.0,Unseen Academicals (Discworld   #37; Rincewind #8),eng,3.97,0,633
9780743219600.0,P.D. James,1971.0,Shroud for a Nightingale (Adam Dalgliesh #4),eng,4.04,1,701
9780440228900.0,George Selden   Garth Williams,1960.0,The Cricket in Times Square,eng,4.01,1,883
9780140274220.0,Jean Rhys,1966.0,Wide Sargasso Sea,eng,3.56,0,991
9780751531180.0,Nelson DeMille,1988.0,The Charm School,en-GB,4.26,0,982
9780060594660.0,Tom Franklin,2009.0,Crooked Letter   Crooked Letter,en-US,3.82,0,1313
9781594483070.0,Sloane Crosley,2008.0,I Was Told There'd Be Cake,eng,3.45,0,573
9781416903440.0,Tamora Pierce,1992.0,Wild Magic (Immortals   #1),en-US,4.32,0,554
9780399256160.0,Lynda Mullaly Hunt,2012.0,One for the Murphys,eng,4.31,0,1172
9780316043920.0,N.K. Jemisin,2010.0,The Hundred Thousand Kingdoms (Inheritance Trilogy   #1),eng,3.8,0,1234
9781409135200.0,Diana Gabaldon,2011.0,The Scottish Prisoner (Lord John Grey   #3),eng,4.19,0,1424
9780451450520.0,Peter S. Beagle,1968.0,The Last Unicorn (The Last Unicorn   #1),eng,4.18,1,865
9781933372600.0,Muriel Barbery   Alison Anderson,2006.0,The Elegance of the Hedgehog,eng,3.73,0,939
9780593053900.0,Sophie Kinsella,2008.0,Remember Me?,eng,3.76,1,709
9780671742520.0,Douglas Adams,1988.0,The Long Dark Tea-Time of the Soul (Dirk Gently   #2),en-US,4.05,1,885
9781416516740.0,Mary Higgins Clark,1995.0,Let Me Call You Sweetheart,eng,3.84,1,1416
9780425162450.0,Sheri Reynolds,1995.0,The Rapture of Canaan,eng,3.8,0,923
9780671666070.0,Felix Salten   Barbara Cooney,1923.0,Bambi,eng,4.1,1,525
9780395137210.0,Bernard Waber,1965.0,Lyle   Lyle   Crocodile,eng,4.13,0,1008
9780786933880.0,Margaret Weis   Tracy Hickman,1986.0,Test of the Twins (Dragonlance: Legends   #3),eng,4.16,1,502
9780345466600.0,Jonathan Kellerman,1985.0,When the Bough Breaks (Alex Delaware   #1),eng,4.02,1,1304
9780385742380.0,Lissa Price,2012.0,Starters (Starters   #1),eng,3.91,0,1197
9780886776060.0,Tad Williams,1993.0,To Green Angel Tower   Part 2 (Memory   Sorrow   and Thorn   #3; Part 2),eng,4.19,0,811
9780091883770.0,Spencer Johnson   Kenneth H. Blanchard,1998.0,Who Moved My Cheese?,eng,3.74,0,990
9780631227080.0,Charles Harrison   Paul Wood,2002.0,Art in Theory 1900 - 2000: An Anthology of Changing Ideas,en-US,3.94,0,1486
9780805088410.0,Jacqueline Kelly,2009.0,The Evolution of Calpurnia Tate (Calpurnia Tate   #1),en-US,3.97,0,969
9780393064640.0,Mary Roach,2008.0,Bonk: The Curious Coupling of Science and Sex,en-US,3.83,0,599
9780679772680.0,Jonathan Harr,1995.0,A Civil Action,en-US,3.94,0,1359
9780446359210.0,Dan Simmons,1989.0,Carrion Comfort,eng,3.89,1,648
9780671737820.0,Julie Garwood,1987.0,Honor's Splendour,eng,4.22,1,624
9780345485780.0,Steve Berry,2007.0,The Venetian Betrayal (Cotton Malone   #3),en-US,3.94,1,1216
9780061767890.0,Steven Tyler,2011.0,Does the Noise in My Head Bother You?,en-US,3.47,0,892
9780942299790.0,Guy Debord   Donald Nicholson-Smith,1967.0,The Society of the Spectacle,eng,4.04,0,777
9780745917440.0,Angela Elwell Hunt   Tim Jonke,1989.0,The Tale of Three Trees,en-US,4.52,0,732
9780767919400.0,Bill Bryson,2013.0,One Summer: America   1927,eng,4.06,1,1059
9780439224060.0,Edgar Allan Poe   Philip Pullman,1845.0,The Raven and other poems,en-US,4.3,1,1453
9780006280840.0,C.S. Lewis,1955.0,Surprised by Joy: The Shape of My Early Life,eng,4.14,0,705
9780061259340.0,Lisa Kleypas,2004.0,Secrets of a Summer Night (Wallflowers   #1),eng,4.05,1,686
9780515136290.0,Nora Roberts,2003.0,Key of Light (Key Trilogy   #1),eng,4.16,0,964
9780385535300.0,Edward Rutherfurd,2013.0,Paris,eng,3.95,0,1197
9780553265960.0,Arthur Koestler   Daphne Hardy,1940.0,Darkness at Noon,eng,4.06,1,1390
9780446547600.0,Nicholas Sparks,2010.0,Safe Haven,eng,4.19,1,649
9780688120500.0,Lewis Carroll   John Tenniel   Peter Glassman,1871.0,Through the Looking-Glass   and What Alice Found There,eng,4.06,1,1266
9780425193820.0,Judy Blume,1990.0,Fudge-a-Mania (Fudge   #4),eng,3.99,0,593
9780842329220.0,Tim LaHaye   Jerry B. Jenkins,1996.0,Tribulation Force (Left Behind   #2),eng,3.94,0,1481
9781400032820.0,Chuck Palahniuk,2005.0,Haunted,eng,3.59,1,1239
9780345477250.0,Anne Tyler,2001.0,Back When We Were Grownups,eng,3.51,0,1202
9780151189790.0,T.S. Eliot,1963.0,Collected Poems   1909-1962,eng,4.29,1,993
9781595143200.0,Richelle Mead,2013.0,The Indigo Spell (Bloodlines   #3),eng,4.41,1,1117
9780374530630.0,Flannery O'Connor,1952.0,Wise Blood,en-US,3.88,0,1472
9780330418870.0,Meg Cabot,2004.0,Boy Meets Girl (Boy   #2),eng,3.82,1,1466
9781607749720.0,Marie Kondō,2016.0,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,eng,3.82,0,1499
9780439568470.0,R.L. Stine,1992.0,Welcome to Dead House (Goosebumps   #1),en-US,3.82,1,1246
9780670026330.0,Tana French,2016.0,The Trespasser (Dublin Murder Squad #6),eng,3.98,1,1200
9780807508530.0,Gertrude Chandler Warner   L. Kate Deal,1942.0,The Boxcar Children (The Boxcar Children   #1),en-US,4.09,1,587
9780446577890.0,Brad Meltzer,2011.0,The Inner Circle (Culper Ring   #1),eng,3.76,1,954
9781782115080.0,Matt Haig,2015.0,Reasons to Stay Alive,eng,4.17,1,1473
9780316190080.0,Gail Carriger,2013.0,Etiquette & Espionage (Finishing School   #1),en-CA,3.79,1,1471
9781455525930.0,Douglas Preston   Lincoln Child,2015.0,Crimson Shore (Pendergast   #15),eng,4.0,0,1277
9780312992420.0,Sherrilyn Kenyon,2004.0,Night Play (Dark-Hunter #5   Were-Hunter #1),eng,4.36,0,1367
9780385539080.0,Kevin Kwan,2015.0,China Rich Girlfriend (Crazy Rich Asians #2),eng,3.74,0,758
9780345427050.0,Monty Roberts   Lucy Grealy   Lawrence Scanlan,1997.0,The Man Who Listens to Horses,en-US,4.1,1,932
9780141441160.0,E.M. Forster   Oliver Stallybrass   Pankaj Mishra,1924.0,A Passage to India,eng,3.66,1,784
9780553805470.0,Jordan Belfort,2007.0,The Wolf of Wall Street,eng,3.67,0,1189
9780374529540.0,Shirley Jackson,1949.0,The Lottery and Other Stories,en-US,4.06,1,1464
9780743482880.0,Linda Howard,2000.0,Mr. Perfect,eng,4.07,0,941
9780553383840.0,Isabel Allende   Margaret Sayers Peden,1984.0,Of Love and Shadows,eng,3.96,0,1059
9780060775860.0,Margaret Wise Brown   Clement Hurd,1947.0,Goodnight Moon,en-US,4.27,0,1051
9780451218600.0,Edward Albee,1962.0,Who's Afraid of Virginia Woolf?,eng,4.09,0,1059
9780316098120.0,Kim Stanley Robinson,2012.0,2312,eng,3.43,0,1182
9781421506230.0,Katsura Hoshino   Mayumi Kobayashi,2004.0,D.Gray-man   Volume 01,eng,4.21,1,828
9780394856390.0,Stan Berenstain   Jan Berenstain,1983.0,The Berenstain Bears and the Messy Room,en-US,4.16,0,616
9780345479720.0,Richard K. Morgan,2005.0,Woken Furies (Takeshi Kovacs   #3),eng,4.1,1,1324
9780804170730.0,Rob Thomas   Jennifer Graham,2015.0,Mr. Kiss and Tell (Veronica Mars   #2),eng,4.01,1,1377
9780743294290.0,Jennifer Weiner,2009.0,Best Friends Forever,eng,3.48,1,1005
9780099244720.0,Michael Crichton,1999.0,Timeline,en-US,3.83,0,1219
9780452281420.0,A.N. Roquelaure   Anne Rice,1983.0,The Claiming of Sleeping Beauty (Sleeping Beauty   #1),en-US,3.28,0,1143
9781250077690.0,Ruth Wariner,2016.0,The Sound of Gravel,eng,4.15,0,1186
9780759530480.0,Atsushi Ohkubo,2004.0,Soul Eater   Vol. 02 (Soul Eater   #2),eng,4.47,0,1069
9780590396430.0,Tamora Pierce,2001.0,Street Magic (The Circle Opens   #2),eng,4.12,0,886
9780451528960.0,Robert Louis Stevenson   Vladimir Nabokov   Mervyn Peake   Dan Chaon,1886.0,The Strange Case of Dr. Jekyll and Mr. Hyde,eng,3.79,1,757
9780425204050.0,Clive Cussler,2001.0,Valhalla Rising (Dirk Pitt   #16),en-US,3.92,1,828
9781481426300.0,Cassandra Clare,2014.0,City of Heavenly Fire (The Mortal Instruments   #6),eng,4.48,1,1007
9780099556310.0,Michael Crichton,1996.0,Airframe,eng,3.66,1,878
9780399156820.0,William Gibson,2010.0,Zero History (Blue Ant   #3),eng,3.93,1,1253
9781841150500.0,Ann Patchett,1992.0,The Patron Saint of Liars,eng,3.76,1,1352
9781599903380.0,Carrie Jones,2008.0,Need (Need   #1),eng,3.71,1,928
9780553286280.0,Isaac Asimov,1989.0,Nemesis,eng,3.75,1,674
9780689845370.0,Ursula K. Le Guin,1970.0,The Tombs of Atuan (Earthsea Cycle   #2),eng,4.07,1,1280
9780061031330.0,Terry Pratchett,2001.0,Thief of Time (Discworld   #26; Death   #5),eng,4.25,0,1425
9780425214440.0,John Sandford,1991.0,Eyes of Prey (Lucas Davenport   #3),en-US,4.18,1,1058
9780575079790.0,Joe Abercrombie,2006.0,The Blade Itself (The First Law   #1),eng,4.14,1,524
9780552992090.0,John Irving,1981.0,The Hotel New Hampshire,eng,3.89,1,664
9781430300620.0,Jill Bolte Taylor,2006.0,My Stroke of Insight: A Brain Scientist's Personal Journey,en-US,3.86,0,753
9780330448440.0,Kate Morton,2006.0,The House at Riverton,eng,3.93,1,1079
9780688014290.0,Kenneth H. Blanchard   Spencer Johnson,1981.0,The One Minute Manager,en-US,3.85,1,917
9780061000010.0,Tony Hillerman,1970.0,The Blessing Way (Leaphorn & Chee   #1),en-US,4.06,0,953
9780670012250.0,Susane Colasanti,2012.0,Keep Holding On,en-US,3.85,0,765
9781590388010.0,Obert Skye,2007.0,Leven Thumps and the Eyes of the Want (Leven Thumps   #3),eng,3.97,0,628
9781481268510.0,Cheryl McIntyre,2012.0,Sometimes Never (Sometimes Never   #1),eng,3.94,1,894
9780345533650.0,Kevin Hearne,2012.0,Trapped (The Iron Druid Chronicles   #5),eng,4.28,0,851
9780060735450.0,Christopher Moore   Oliver Wyman,1997.0,Island of the Sequined Love Nun,en-GB,3.78,0,1106
9780345532830.0,Kelly Corrigan,2014.0,Glitter and Glue,eng,3.76,0,1488
9781622669100.0,J. Lynn   Jennifer L. Armentrout,2012.0,Tempting the Best Man (Gamble Brothers   #1),eng,3.73,1,696
9780062004020.0,Amy Plum,2011.0,Die for Me (Revenants   #1),eng,4.0,0,853
9780446580270.0,Eric    Weiner,2008.0,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,en-US,3.83,0,928
9781595141970.0,Richelle Mead,2008.0,Shadow Kiss (Vampire Academy   #3),en-US,4.37,1,911
9781857988370.0,John Brunner,1968.0,Stand on Zanzibar,eng,3.96,1,1137
9780064472810.0,Meg Cabot,2001.0,Princess in Love (The Princess Diaries   #3),eng,3.76,0,1443
9780811216010.0,Tennessee Williams,1955.0,Cat on a Hot Tin Roof,eng,4.07,0,1450
9780393329410.0,Nick Flynn,2004.0,Another Bullshit Night in Suck City,eng,3.77,1,701
9780142501530.0,Brian Jacques   Gary Chalk,1992.0,Salamandastron (Redwall   #5),en-US,4.05,1,1408
9780141197940.0,Oscar Wilde,1893.0,Lady Windermere's Fan,eng,3.9,0,601
9780316166290.0,Michael Connelly,2008.0,The Brass Verdict (Harry Bosch   #14; Mickey Haller   #2; Harry Bosch Universe   #17),eng,4.08,1,791
9780553351390.0,Thich Nhat Hanh   Arnold Kotler   Dalai Lama XIV,1990.0,Peace Is Every Step: The Path of Mindfulness in Everyday Life,eng,4.34,1,1090
9780192835150.0,Jack London,1906.0,The Call of the Wild   White Fang and Other Stories,eng,3.97,1,627
9781842430250.0,Tom Robbins,1976.0,Even Cowgirls Get the Blues,eng,3.74,0,763
9780679728890.0,Willa Cather,1927.0,Death Comes for the Archbishop,eng,3.88,1,1360
9781416983250.0,Ellen Hopkins,2011.0,Perfect (Impulse   #2),en-US,4.35,0,1393
9780425209070.0,Laurell K. Hamilton,1997.0,The Killing Dance (Anita Blake   Vampire Hunter   #6),en-US,4.12,0,878
9781591164420.0,Tite Kubo,2002.0,Bleach   Volume 01,eng,4.21,1,730
9781444778520.0,Susan Ee,2011.0,Angelfall (Penryn & the End of Days   #1),en-US,4.19,0,1064
9780307886260.0,Mindy Kaling,2011.0,Is Everyone Hanging Out Without Me? (And Other Concerns),eng,3.84,1,1250
9781400032720.0,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,eng,3.85,0,1429
9780062003940.0,L.J. Smith   Kevin Williamson   Julie Plec,2011.0,Bloodlust (The Vampire Diaries: Stefan's Diaries   #2),en-US,4.05,0,1260
9781405209500.0,Enid Bagnold,1935.0,National Velvet,eng,4.09,0,1140
9780316051590.0,Sarah Ockler,2009.0,Twenty Boy Summer,en-US,3.89,0,776
9780385742890.0,James Dashner,2012.0,The Kill Order (Maze Runner   #0.5),eng,3.69,0,793
9780007256750.0,Naomi Novik,2008.0,Victory of Eagles (Temeraire   #5),en-GB,4.01,1,762
9780553276330.0,Clive Cussler   Michael Pritchard,1983.0,Pacific Vortex! (Dirk Pitt   #1),eng,3.76,1,1094
9780316109700.0,Julie Powell,2005.0,Julie and Julia: 365 Days   524 Recipes   1 Tiny Apartment Kitchen: How One Girl Risked Her Marriage   Her Job   and Her Sanity to Master the Art of Living,eng,3.67,1,1412
9780062278780.0,Veronica Roth,2013.0,Divergent Series Complete Box Set (Divergent   #1-3),en-US,4.32,0,1085
9780399163840.0,Sue Grafton,2015.0,X (Kinsey Millhone   #24),eng,3.88,0,883
9780385721710.0,James Surowiecki,2004.0,The Wisdom of Crowds,eng,3.8,1,581
9780140441060.0,Dante Alighieri   Dorothy L. Sayers   Barbara Reynolds,1320.0,Paradiso (The Divine Comedy   #3),eng,3.94,1,1391
9780380713810.0,Bill Bryson,1991.0,Neither Here nor There: Travels in Europe,en-US,3.88,0,1229
9780930289230.0,Alan Moore   Dave Gibbons   John Higgins,1987.0,Watchmen,en-US,4.35,1,1424
9780006471260.0,Sidney Sheldon,1976.0,A Stranger In The Mirror,eng,3.61,1,770
9780393960430.0,Theodore Dreiser,1900.0,Sister Carrie,eng,3.72,0,1236
9780375713750.0,Allison Pearson,2001.0,I Don't Know How She Does It,en-US,3.3,0,1225
9780060733350.0,Neal Stephenson,2004.0,The Confusion (The Baroque Cycle   #2),en-US,4.24,1,1038
9781570625190.0,Fritjof Capra,1975.0,The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism,eng,3.96,0,1114
9780307408850.0,Erik Larson,2011.0,In the Garden of Beasts: Love   Terror   and an American Family in Hitler's Berlin,eng,3.81,1,567
9781780890160.0,James Patterson,2014.0,Hope to Die (Alex Cross   #22),eng,4.14,0,612
9780316200980.0,Cassandra Clare   Hye-Kyung Baek,2012.0,The Infernal Devices: Clockwork Angel (The Infernal Devices: Manga   #1),eng,4.21,1,980
9781400064990.0,Ronald C. White Jr.,2009.0,A. Lincoln,en-US,4.22,1,747
9780689853490.0,Michael Rosen   Helen Oxenbury,1989.0,We're Going on a Bear Hunt,eng,4.27,1,1468
9780689878560.0,Tamora Pierce,1983.0,Alanna: The First Adventure (Song of the Lioness   #1),en-US,4.27,0,1219
9781400065740.0,Anna Quindlen,2010.0,Every Last One,eng,3.83,0,1441
9780765344300.0,Terry Goodkind,2003.0,Naked Empire (Sword of Truth   #8),en-GB,3.82,1,740
9780767902890.0,Tim O'Brien,1990.0,The Things They Carried,en-US,4.12,0,1403
9780307595120.0,Anne Rice,2012.0,The Wolf Gift (The Wolf Gift Chronicles   #1),eng,3.52,1,859
9780765312820.0,Orson Scott Card,2007.0,A War of Gifts (Ender's Saga   #1.1),en-US,3.66,1,1407
9781421501700.0,Tsugumi Ohba   Takeshi Obata,2004.0,Death Note   Vol. 2: Confluence (Death Note   #2),eng,4.42,1,1429
9780753819920.0,Jostein Gaarder   James Anderson,2003.0,The Orange Girl,eng,3.91,1,1474
9780385333510.0,Kurt Vonnegut Jr.,1987.0,Bluebeard,en-US,4.02,0,617
9780684803360.0,Ernest Hemingway,1940.0,For Whom the Bell Tolls,eng,3.95,1,1261
9780060725110.0,Meg Cabot,2000.0,Shadowland (The Mediator   #1),eng,4.04,0,1101
9781419935950.0,Laurann Dohner,2011.0,Fury (New Species   #1),eng,4.18,1,1495
9780425205750.0,Nora Roberts,1996.0,Montana Sky,eng,4.07,0,1376
9780375714830.0,Marjane Satrapi   Mattias Ripa   Blake Ferris   Anjali Singh,2003.0,The Complete Persepolis,en-US,4.36,1,1029
9780375868430.0,Carl Hiaasen,2012.0,Chomp,eng,3.93,1,1037
9780156005200.0,José Saramago   Giovanni Pontiero,1982.0,Baltasar and Blimunda,eng,3.9,1,1042
9780425098650.0,Dean Koontz,1976.0,Night Chills,en-US,3.86,1,1396
9780061988350.0,Mitchell Zuckoff,2011.0,Lost in Shangri-la: A True Story of Survival   Adventure   and the Most Incredible Rescue Mission of World War II,eng,3.82,1,990
9780886774010.0,Mercedes Lackey,1990.0,Magic's Promise (Valdemar: Last Herald-Mage #2),eng,4.2,1,1298
9780679457140.0,Richard   Preston,1997.0,The Cobra Event,en-US,4.0,0,1389
9780297775350.0,Judith Krantz,1978.0,Scruples,eng,3.8,0,1484
9781609451350.0,Elena Ferrante   Ann Goldstein,2012.0,The Story of a New Name (The Neapolitan Novels #2),eng,4.37,1,1390
9782211065890.0,Leo Lionni,1967.0,Frédéric,fre,4.19,1,556
9780671027320.0,John Connolly,1999.0,Every Dead Thing (Charlie Parker   #1),eng,4.01,0,915
9780441017690.0,Jim Butcher,2008.0,First Lord's Fury (Codex Alera   #6),eng,4.37,1,1215
9780062059960.0,Kiera Cass,2013.0,The Elite (The Selection   #2),eng,4.02,1,636
9780385474540.0,Chinua Achebe,1958.0,Things Fall Apart (The African Trilogy   #1),en-US,3.61,1,1246
9780099459060.0,Henning Mankell   Ebba Segerberg,1997.0,Firewall (Wallander   #8),eng,3.95,0,1278
9780143036370.0,J.M. Coetzee,1999.0,Disgrace,eng,3.83,1,933
9781476762620.0,Wednesday Martin,2015.0,Primates of Park Avenue,eng,3.05,0,1182
9780727861000.0,Richard Matheson,1971.0,Hell House,eng,3.81,1,645
9780553293390.0,Isaac Asimov,1982.0,Foundation's Edge (Foundation #4),eng,4.08,1,554
9781421540320.0,Kazue Kato   John Werry,2009.0,Blue Exorcist   Vol. 1  (Blue Exorcist   #1),eng,4.36,1,856
9780747549920.0,Hubert Selby Jr.   Gilbert Sorrentino,1964.0,Last Exit to Brooklyn,eng,3.94,0,501
9780451230550.0,Rachel Caine,2009.0,The Morganville Vampires   Volume 1 (The Morganville Vampires   #1-2),eng,4.36,1,1337
9780316921180.0,David Foster Wallace,1996.0,Infinite Jest,en-US,4.31,0,1010
9780743264460.0,Chuck Klosterman,2005.0,Killing Yourself to Live: 85% of a True Story,en-US,3.85,0,895
